reviews	descs
Are there any other advantages for F-pooling s.t. people might want to use it as opposed to AA-pooling?	Incomplete details on perfromance of the method
In addition, the results seem very weak.	generalizability of results is questionable
"The authors stated that ""F-pooling remarkably increases accuracy and robustness w.r.t. shifts of moderns CNNs""; however, in Table 1-3, the winning margin of accuracy is actually quite small (<2%), and the consistency (<3.5% compared to the second best baseline except resnet-18 on CIFAR 100 has large improvement ~7-8%)."	Results are more or less similar to baselines
It is not clear how well these methods scale, and for example using k=8 adds computation which may hinder training scalability.	Correctness of algorithm proposed
"I would have been interested in ""false detection"" experiments: comparing estimator in a variety of problems where the mutual information is zero, but for different marginal distribution."	Experimental study not strong enough
In terms of evaluation, the authors only presented a few qualitative results on simple datasets, which is not comprehensive and convincing.	In terms of evaluation, the authors only presented a few qualitative results on simple datasets, which is not comprehensive and convincing.
Is there a constraint on the CFS and classifiers that ensure the difference between the weights really captures what is suggested?	Unclear description of method
In summary, I find there is no novelty involved apart from combining the already existing SOTA model in disentangled feature learning (beta-VAE) and image generation (StackGAN).	Limited novelty in theoretical contribution
Especially if the lower-level component of the hierarchy is pre-trained in a non-MARL setup, it can just be seen as part of the environment from the point of view of the MARL training, offerring limited new insight into MARL.	Missing theoretical comparisons
In addition, I observe that in Table 1, the proposed method does not outperform the Joint Training in SVHN with A_10.	"Perhaps I missed it, but I believe Dan Ciresan's paper ""Multi-Column Deep Neural Networks for Image Classification"" should be cited."
1. The dataset is adversarially filtered using BERT and GPT, which gives deep learning model a huge disadvantage. After all, the paper says BERT scores 88% before the dataset is attacked.	claims on the datasets is questionable
Yet the authors stop at only solving this version with a machine learning approach, which does not hit the bar for me.	Incomplete details on perfromance of the method
Lemma 3 is too trivial.	Incomplete details on perfromance of the method
Additionally, in section 6.4, the results in Figure 2 also does not look very	Improper presentation of results in tables and figures
This would be an effective baseline to compare. (Correct me if I am wrong here.)	Limited improvement over baselines
In summary, I think this is interesting work, but a clearer explanation of the relationship between HRL and MARL, as well as a clearer main argument, supported by experimental evidence, would greatly improve this paper.	Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)
- What are the motivations to use Frank-Wolfe ? Usually this algorithm is used when the constraints are to complicated to have a tractable projection (which is not the case for the L_2 and L_\infty balls) or when one wants to have sparse iterates which do not seem to be the case here.	Correctness of algorithm proposed
However, the un-standard design of the LSTM models makes it unclear whether the comparisons are solid enough.	Missing theoretical comparisons
"- the sentence ""Bacause the identity of the datapoint can never be learned by ..."" What is the identity of a dat point?"	Unclear description of method
"For example, the authors should at least say that the ""D"" in Figure 2. stands for delay, and the underline in Figure 4. indicates the bits that are not pruned."	Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)
2. The main technical contribution claim needs to be elaborated.	Incomplete details on perfromance of the method
With regard to my first negative point above about the lack of discussions, it seems the analysis of Section 4 is disproportionate compared to other places.	With regard to my first negative point above about the lack of discussions, it seems the analysis of Section 4 is disproportionate compared to other places.
"- the authors fix the number of layers of the used network based on ""our experience"". For the sake of completeness, more experiments in this area would be nice."	Experimental study not strong enough
"- in 3.1 towards the end of the first paragraph, what is a ""study"", is that the same as experiment or something different?"	Experimental study not strong enough
Thus, I suggest the authors could show the space and time comparisons with the baseline methods to show effectiveness of the proposed method.	Incorrect baselines used
section 6.3, the authors show an experiments in this case, but only on a dense	Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)
It does not seem sensible to drop X^{j}_{t-1} + \eta_X \cdot \epsilon_X and attain a smaller value of the cost function at the same time.	Incomplete details on perfromance of the method
Since the paper focuses explicitly on providing contrastive explanations for choosing a class A over another class B -- experiments on datasets which do not have real-images seem insufficient.	Lack of realistic datasets used in experiments (small siz, synthetic)
4. The biggest flaw that I see in this method is the practicality of it's use.	Correctness of algorithm proposed
1) The critical issue of this paper is that the algorithm is designed to minimize the upper bound.	Incomplete details on perfromance of the method
In addition, Procedure 1 is not referenced in the text which makes is hard to understand the utility of the same.	Unclear description of method
So, I have some doubts about the experimental results.	More experiments needed with related work
- In Table 2 and 3, how are the degree and block information leveraged into the model?	Missing details in tables and figures (how some value as calculated in fig, some notation missing in fig, etc)
There should be a better discussion of related work on the topic.	Missing baselines
The problem of image classification is considered only, while authors claimed the method can be easily applied to other problems as well.	Missing details on methodology (eg., use of notation, use on tasks, etc)
"I am still a bit confused about the difference between ""zero-confidence attacks"" and those that don't fall into that category such as PGD."	Correctness of algorithm proposed
In the absence of citation or comparison with any of the prior work on multivariate statistical dependence testing, the current submission is not suitable for publication.	Limited improvement over baselines
Some details are missing, which is hardly reproduced by the other researchers.	Missing implementation details of related work used as baselines
4. How large is the training set of (T, P) pairs? I don't think this is mentioned in the paper.	Lacking details on datasets
Second, the caption mentions that early stopping is beneficial for the proposed method, but I can’t see it from the figure.	Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)
2) The paper still makes very odd choices even if one ignores the above and wants to model some orderings as more likely than others.	Correctness of algorithm proposed
Overall, while I find the proposed approach simple -- the paper needs to address some issues regarding the claims made and should provide more quantitative experimental results justifying the same.	Generalizability of results in terms of method parameters (only applies for some number of parameters, only for these type of matrices, etc)
Weaknesses: The dataset created here is entirely synthetic, and the paper only includes one single small real-world case; it seems like it would be easy to generate a larger and more varied real world dataset as well (possibly from the large literature of extant solved problems in workbooks).	Less datasets used
Overall, the paper requires significant improvement.	Lacking clarity overall (needs better presentation)
It is unclear how important this particular objective is to the results.	correctness of results presented is questionable(eg., metrics, complexity, etc)
Therefore, the paper cannot be qualified for ``meta domain adaptation’’ and has very limited novelty in terms of its contribution to meta-learning; however, the combination of domain adaptation and few-shot learning is fair.	Limited novelty in theoretical contribution
"* The use of the name ""batch-norm"" for the layer wise normalization is both wrong and misleading."	Unclear description of method
"2) Using the word ""task"" in describing ""joint training"" of the generative, discriminative, and classification networks is very confusing (since ""task"" is used for the continual learning description too,"	Unclear description of method
There are tons of algorithms for image inpainting, denoising, and super-resolution, but the proposed method was not compared with them.	Missing theoretical comparisons
- Sec 3.1: the statements about MB and MF algorithms are inaccurate.	Correctness of algorithm proposed
- Experimental results are provided only on MNIST and Fashion-MNIST.	Need more experimental results
It's then hard for me to square that with the +VR gains seen throughout this work on non-grounded datasets.	Lacking details on datasets
In this case, the paper proves that no careful selection of the learning rate is necessary.	Incomplete details on perfromance of the method
However, the derivations about \phi are missing.	Missing details on methodology (eg., use of notation, use on tasks, etc)
If so, what was the methodology.	Missing details on methodology (eg., use of notation, use on tasks, etc)
What is the point that you are trying to make? Also, note that some of the algorithms that you are citing there have indeed applied beyond architecture search, eg. Bayesian optimization is used for gait optimization in robotics, and Genetic algorithms have been used for automatic robot design.	Incorrect assumptions as compared to related work
However, it’s noteworthy that embedding to a vector could be useful too if the embedding espace is representative of the entire history and the timing of the events.	Missing theoretical comparisons
For example, “Fuzzy Choquet Integration of Deep Convolutional Neural Networks for Remote Sensing” by Derek T. Anderson et al.	Suggest missing related work
A significant concern/confusion for me is that this doesn't seem to be a mixed membership model, and so I don't know how meaningful it is to generate a level distribution from a Dirichlet and then draw from that mixture one time.	Correctness of algorithm proposed
There is however a misunderstanding about the properties of the alt-az convolution that must be cleared up before this paper can be published.	Incomplete details on perfromance of the method
It gives technical details that could (in my opinion) get ignored, and I would clearly prefer to catch the main differences between the different models that being flooded by technical details.	Unclear description of method
• Not all of the arrows in Figure 1 are pointing to the right lines.	Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)
Given this, I wonder why all experiments are conducted on sets of two to five images, even for Kitti where standard evaluation protocols would demand predicting entire sequences.	Lack of experimental details (no of images, sampling criteria, etc)
1. The authors should provide more details on how the hand-crafted demonstrator agents were made.	Missing details on methodology (eg., use of notation, use on tasks, etc)
5. Is it reasonable to assume that the learning dynamics of all deep learning architectures are similar enough that a model trained on one set of deep learning architectures and problems will generalize to new architectures and problems?	Incomplete details on perfromance of the method
Besides having closed form in the case of a Gaussian prior (which other statistical distances could potentially also achieve), it would be nice to see some discussion of why the authors believe their CW-distance is conceptually superior to such alternatives.	Incomplete details on perfromance of the method
The experiments on synthetic data could be improved: for reproducibility, many works on GANs used the same synthetic data as VEEGAN.	More experiments needed with related work
1. The work has limited novelty: the learning of the world model (recurrent state-space model) closely follows the prior work of PlaNet.	Limited novelty in theoretical contribution
I wonder how the straightforward regression term plus the smooth term will perform for the mask.	Incomplete details on perfromance of the method
The only set of experiments are comparisons on first 500 MNIST test images.	Experimental study not strong enough
Moreover, it is the prediction performance that matters to such task, but the authors remove the non-structure features from the compared methods.	Incomplete details on perfromance of the method
I have a substantial concern that this method might end up assigning a high likelihood of resampling trajectories where something unusual happened, not because of the agent's actions, but because of the world having made a very unusual stochastic transition.	Correctness of algorithm proposed
There might be other constructions that are more efficient and less restrictive.	Correctness of algorithm proposed
-- It is not clear how the  per-example scalar sigma-i is learned. (for Eq 2)	Unclear description of method
- Section 1.1 presents results with too many details without introducing the problem.	Improper explanation of results (as in advantages, why are results better, etc)
Originality: The work is moderately original.	Overall not original enough (primary claim, limited evaluation, limited novelty)
In Section 3.2.2, the authors only explain how they learn example-based \sigma, but details on how to make graph construction end-to-end trainable are missing.	Missing details on methodology (eg., use of notation, use on tasks, etc)
If the novelty is in applying to continual learning and new datasets, it is not clear that this is sufficient.	In terms of applicability, it seems that many cases where discrete latent variables would be really interesting are not covered (e.g. sigmoid belief networks); the paper demonstrates experiments with discrete images (binary or 4-bit) not particularly motivated in my opinion.
Compared to using just a very simple dense reward (e.g. negative L2 distance between the robot and the object), what would be the advantage of using MI discriminator? It would be great to show the comparison between using simple dense reward and MI discriminator for each Push, Pick&Place, and Slide task.	Incomplete details on perfromance of the method
However, the function of interest is limited to a small family of affine equivariant transformations.	Incomplete details on perfromance of the method
4. Can the authors show concrete examples on how the attacks are generated?	Lack of experimental details (no of images, sampling criteria, etc)
However, based on the definition of \theta and \tilde{\theta} given in the first sentence of section 2.3, the relation between \theta, \tilde{\theta} and D	Correctness of algorithm proposed
We think that this is not enough, and more extensive experimental results would provide a better paper.	Experimental study not strong enough
*It is not clear why the latent variables modelling the generative factors are defined using a Gaussian prior.	Unclear description of method
Last comment is that, although the concept of `deficiency` in a bottleneck setting is novel, the similar idea for tighter bound of log likelihood has already been pursed in the following paper:	The main reason is that from the narration, I cannot figure out what is the idea or technique of other works and what is the contribution of this paper.
What is the L1 loss defined in Section 4.4? To obtain the final separated audio waveform, an inverse STFT is applied on what?	Missing details on methodology (eg., use of notation, use on tasks, etc)
- There is no motivations for the use of $\lambda >1$ neither practical or theoretical since the results are only proven for $\lambda =1$ whereas the experiments are done with \lambda = 5,20 or 30.	correctness of experiments is questionable
- it is not really clear to be what data the graphs show: the boxplots show 5% of what data? does it also include the models obtained by gaussian process regression? and what about the line plots, is it the best model so far as you train more and more models? if so, how are those models chosen and ordered? are they the results of single models or average of multiple ones?	Less datasets used
2. How is the performance of a simpler baseline such as combining a subset of new domain as training set to train MAML or PN (probably in 5-shot, 5-class case)?	Lack of experiments
I am not convinced that the measure theoretic perspective is always	Unclear description of method
In 3/4 of the pairs the author tried, this phenomenon is not there. Whether the findings generalize to other situations where the phenomenon appears is uncertain.	Missing details on methodology (eg., use of notation, use on tasks, etc)
Since this paper is about distributed robustness and distributed attacks, it would be very informative to the community to illustrate DBA attack on these methods to have a more compelling message.	Incomplete details on perfromance of the method
--In the main section describing the approach (Section 4), the authors start with a claim that Equation 1 and 2 are equal; I don’t believe 1 and 2 are equal.	Correctness of algorithm proposed
It is not clear why the authors neglect these classical concepts, and are talking about 'random functional perturbations', ... It is also unclear where the optimized transformation (T) lives; the authors are trying to differentiate over some function space which is undefined.	Correctness of algorithm proposed
- The problem setting description is neither formal nor intuitive which made it very hard for me to understand exactly the problem you are trying to solve.	Unclear problem definition
And finally, the discussion of this figure makes claims about the behaviour of the model that seems to be too strong to be based on a single image experiment.	Incomprehensible tables and figures (what is the point of the plot, no decription of figure in main text, etc)
In terms of actual technical contributions, I believe much less significant.	Incomplete details on perfromance of the method
While I agree with the authors that it is generally desirable for a model to be more confident when predicting in MNIST (since it has already seen samples of it) compared to when predicting in notMNIST (completely different data), these plots tells us nothing regarding the predictive power of the model.	Incomplete details on perfromance of the method
5. In fact, I don't know why \omega needs to output p. It's never mentioned in the experiment section.	Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)
3. How can the proposed method be generalized to non-image data?	Correctness of algorithm proposed
A good paper overall, but the experiments were relatively weak (common for most ICLR submissions) and the novelty was somewhat limited.	Lacking clarity overall (needs better presentation)
- Section 3.3: “Different from pruning, which the search space is usually quite limited”. “which” should be “whose”?	Unclear description of method
However, as far as I can tell, there is no difference between applying such a hierarchy to the MARL case and to the single agent problem.	Correctness of algorithm proposed
4. The novelty of the model is relatively limited as it is a combination of previous techniques on a new problem.	Limited novelty in theoretical contribution
"Taking a random example (there are others by simple searching), in the ECCV paper ""DFT-based Transformation Invariant Pooling Layer for Visual Classification, Ryu et al., 2018"" The DFT magnitude pooling is almost the same as the authors' propositions, where the ""Fourier coefficients are cropped by cutting off high-frequency components""."	Incremental novelty of method as compared to related work
As I have mentioned above, actually a lot of methods have been developed to address general image restoration tasks.	Missing theoretical comparisons
I have doubts on applying the proposed method to higher dimensional inputs.	Unclear description of method
Even though the proposed approach seems to have significant potential, the experimental	Not enough novelty in experiments (seems similar to previous work)
The biased introduced via this truncation has been studied in great depth in [3] and shown to be harmful.	Limited improvement over baselines
For example, Narayanaswamy et al. [1] also propose to utilize labels to VAE.	Incremental novelty of method as compared to related work
"- In figure 3 (c) ""number |T of input"" should be  ""number |T| of input"""	Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)
From the perspective of a purely technical contribution, there are fewer exciting results.	generalizability of results is questionable
Was the 5x10x20x10 topology used for MNIST the only topology tried?	Correctness of algorithm proposed
* Section 5.3 (Fig. 6) is the part most relevant to the generalisation problem.	Incomprehensible tables and figures (what is the point of the plot, no decription of figure in main text, etc)
"Similarly, the paper mentions that the ""general approach to solving these combinatorial optimization problems is to recognize the atomic unit necessary to solve the problem"", but at that point the reader has no concrete example of what combinatorial optimization problem would be mapped onto training and inference in RBMS."	Incomplete details on perfromance of the method
- The end of the 2nd line of lemma 1: P, G should be \mathbb{P}, \mathbb{G}	Unclear description of method
It's unclear how this would scale to more complex tasks with higher-dimensional state spaces such as Atari, Starcraft II or if this would work with tasks with continuous state and action spaces such as mujoco.	Correctness of algorithm proposed
I enjoyed reading the submission, which is very clearly written, but due to the relatively limited value of the contributions, and excessive focus on the tunability metric which I do not feel is giustified, I slightly lean against acceptance here at ICLR. I do think, however, that it would make a great submission to a smaller venue or workshop.	Lacking clarity overall (needs better presentation)
"For example, there are two ""the"" in the end of the third paragraph in Related Work."	Improper writing of realted work section (as in 1 paragraph rather than multiple for related work, explanation of somepapers, etc)
- In Appendix D, the Figures could be slightly clarified by using a colored heatmap to color the curve, with colors corresponding to the threshold values.	Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)
This seems like an unnecessary bottleneck in the model, and could partly explain the relatively poor quality of the results.	generalizability of results is questionable
The originality is relative low though, since it is mainly an application of  deep InfoMax to language modeling, not inventing a new algorithm and applying to language modeling.	Limited novelty in theoretical contribution
Better literature review to reflect the relevant previous video action recognitions, especially those on video compositional models.	Limited improvement over baselines
Reading it feels like reading about lattices when the work is about general graphs, and lattices provide no intuition about the proposed solution.	Unclear description of method
- (W2) Related to the last line: I did not see any experiments / analysis showing how stable these different numbers are across different runs of the representation technique. Nor did I see any error bars in the experiments.	The advantage of this random encoding was to reduce the number of parameters for an embedding layer, but the results showed we gained much PPL from a 25% reduction in embedding size (Table 1).
The results are not strong. And, unfortunately, the model contribution currently is too modest.	Not enough originality in results (not surprising)
have you thought about how it would be possible to avoid this step and keep the original variable-size embeddings?	Incomplete details on perfromance of the method
Then to state to which of these cases the results of the paper are applicable, allow for an improvement of the variance and at what additional computational cost (considering the cost of evaluating the discrete derivatives).	Limited impact of results
It is not clear how those observations can affect practical algorithms and this is something I hope the author can address.	Correctness of algorithm proposed
"4. Missing experiments to validate nature of bounds: Bartlett et al. [3] performed extensive experiments to exhibit the correct scaling of the generalization bounds with the ""model complexity"" introduced upto numerical constants."	Lack of experiments
How this proxy incentives the agent to explore poorly-understood regions?	Incomplete details on perfromance of the method
In the experiment there is no details on how you set the hyperparameters of CW and EAD.	Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)
In this simple model, can we not calculate the mutual information directly (i.e., without the bottleneck)?	Missing details on methodology (eg., use of notation, use on tasks, etc)
Meanwhile the actual method used in the paper is hidden in Appendices A.1.1-A.2.	Theoretical misunderstanding in methodology
1) the proof techniques are very standard	Limited novelty in theoretical contribution
"However, as the ""selection network"" uses exactly the same input as ""classification network"", it is hard to imagine how it can learn additional information."	Limited novelty in theoretical contribution
"Particularly the ""fusion"" module remains extremely unclear."	Missing details on methodology (eg., use of notation, use on tasks, etc)
Along this direction, it is problematic that, in the synthetic examples, the relative  performance of methods changes significantly from experiment to experiment and there does not seem to be a simple way to control that.	More variations of experiments needs to be added
- I am not sure what the authors mean by “the Frank-Wolfe gap is affine invariant”. If we scale the input space by a, the gap should be scaled by a^2 - how/why is it invariant?	Correctness of algorithm proposed
However, the paper contains only little novelty and does not provide sufficiently new scientific insights.	Overall not original enough (primary claim, limited evaluation, limited novelty)
However, the more pressing issue is that evaluation is done either sample-wise within-domain (reconstruction), or distribution-wise across domains (transfer).	Correctness of algorithm proposed
The proposed  CLF weight difference method has some concerning aspects as well.	Correctness of algorithm proposed
* The connections to deep learning seem arbitrary in some of the experiments.	Experimental study not strong enough
That's a very simple kind of question; more generally, I'd like to see more analysis of the new dataset.	Less datasets used
- Again, Figure 3, it is hard to see the benefits for increasing M from the visualizations for different clusterings.	Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)
I have some concerns regarding the presentation of the main objective and the lack of justification in certain parts of the methodology.	Incomplete details on perfromance of the method
I think this work would have much greater impact if the authors can show that the power-law form holds for a larger variety of architectures and optimizers thus allowing researchers to more confidently incorporate the results of this work into the design and training deep neural networks.	generalizability of results is questionable
Presumably, whether the benefit scales well will depend on the loss function - in any case, this warrants some analysis/discussion especially given that there are no experiments to test it.	Lack of analysis
2. I am not convinced this method is sufficiently new, given that there are other methods that try to directly reward visiting new states.	Limited novelty in theoretical contribution
- U^m in Eq 1 is undefined and un-discussed.	Unclear description of method
The inference algorithm builds on standard techniques of deep generative models and, also, on previously proposed methods (Wand and Blei, 2003) for dealing with the complex hierarchical priors involved in this kind of models.	Not much novelty in methodology (previous works already studied these methods, similar motiation of methodology)
Instead here you seem to suggest to use L1 and GAN to do basically the same thing, or with significant overlap anyways.	Correctness of algorithm proposed
The introduction can start at a lower level (such as flat/hyperbolic neural networks).	Unclear intro (eg. contributions)
- Lack of theoretical analysis. It could have been nice if the authors could show the observed phenomenon analytically on some simple distribution.	Lack of analysis
- comparison should be made to the linear composition method in the Arora, Liang, Ma ICLR 2017 paper	Missing baselines
Why these methods are not considered in the beginning? In my opinion, transformer is good for modeling long term dependency and concurrent predictions which is not necessarily the case for learning curves.	Incomplete details on perfromance of the method
For example, in Table 2, the F-pooling only wins at either accuracy (marginally) or consistency, but not both.	Incomprehensible tables and figures (what is the point of the plot, no decription of figure in main text, etc)
- I’d also like to see more extensive comparisons between FICM and ICM across different datasets, for example, Super Mario Bros. and the Atari games, instead of only comparing FICM against ICM on ViZDoom.	- I’d also like to see more extensive comparisons between FICM and ICM across different datasets, for example, Super Mario Bros. and the Atari games, instead of only comparing FICM against ICM on ViZDoom.
The paper does not provide very significant evidence that this method is useful.	Correctness of algorithm proposed
I identify this ambiguity between BERTScore versions as an important weakness of the paper.	Unclear description of method
Another somewhat jarring fact about the alt-az convolution is that it is not well defined on the south pole.	Unclear description of method
this analysis is not currently included in the main body of the manuscript, but rather in the appendix, which I find rather annoying.	Lack of discussion of analysis
e.g: REINFORCE has lower best-sample to total-sample ratio but its solutions are worse)	correctness of results presented is questionable(eg., metrics, complexity, etc)
The same holds for the type of data, since the paper only shows results for image classification benchmarks.	In terms of evaluation, the authors only presented a few qualitative results on simple datasets, which is not comprehensive and convincing.
Here the end goal is less clear; this is understandable in the sense that the work is positioned as a piece in a grand objective, but it would seem valuable to nevertheless describe some concrete example(s) to elucidate this aspect of the algorithm (use case / error effects downstream).	Unclear description of method
If this is what these graphs show, consider using a different visualization to make it clearer that you're improving the final performance, not just the training process.	Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)
- While the current experiments are a good start, I do not think they are extensive enough to count as strong evidence for the  power-law form of \(\epsilon(m,n)\).	Experimental study not strong enough
1. As mentioned in the paragraph before Section 4.1, it would be much simpler to consider a single latent embedding space L. In that case, \sigma and \alpha become unnecessary and we only need to train \omega.	Experimental study not strong enough
Additionally, it is unclear how you will have vanishing rewards given the structure of the learned controller.	Unclear description of method
- the complexity of the proposed algorithm seems to be very high	Incomplete details on perfromance of the method
5. lack of related work:  4D Spatio-Temporal ConvNets: Minkowski Convolutional Neural Networks, CVPR 2019.	Missing literature review (some literature not included, misses baseline citations, etc)
"- In figure 8 ""Each column corresponds to ..."" should be ""Each row corresponds to ...""."	Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)
Since you assume the number of information nodes is large, you cannot minimize the l2 loss over all states. Do you assume you generate states by following some policy? Which policy?	Correctness of algorithm proposed
If that's the goal, however, a more detailed error analysis would need to be included.	Lack of analysis
4. The scores achieved by the baseline are very far from state of the art, making the comparison mostly useless,	Limited improvement over baselines
- For the automatic evaluation measures there should be multiple references per SPARQL query since this is how BLEU et al are supposed to be used.	Limited improvement over baselines
1. I do not get the point of bringing up NCE. Did you actually use NCE loss? Did you only refer to NCE as a weight tying which can be used in a standard XENT loss [3]? The first paragraph of 3.3 did not help clarify this point either.	Missing details on methodology (eg., use of notation, use on tasks, etc)
3) Furthermore, for the experiments only one neural network architecture was considered and it remains an open question, how the presented results translate to other architectures.	Need more experimental results
(4) Are \theta and \phi jointly and simultaneously optimized at Eq 12?	Missing details on methodology (eg., use of notation, use on tasks, etc)
- The notion of divergence D(P|G) is not made concrete in section 3 and 3.1, which makes the notation of rather little use.	Theoretical misunderstanding in methodology
Therefore, it is not clear how the proposed framework is helping the model compression techniques.	Correctness of algorithm proposed
The authors claim that some amount of noise can be tolerated, but do not quantify how much.	correctness of results presented is questionable(eg., metrics, complexity, etc)
- I think the comparison between prior lifetimes and humans mastering a language doesn’t hold up and is distracting	Correctness of algorithm proposed
The details of the approach is not entirely clear and no theoritcal results are provided to support the approach.	The details of the approach is not entirely clear and no theoritcal results are provided to support the approach.
3) In the experiments, the accuracy values are too low for me.	design choices are questionable
b. In Eq. (6), it also surprises me to see no description of \phi and \psi.	Correctness of algorithm proposed
- I would like to see some more interpretation on why this method works.	Incomplete details on perfromance of the method
The idea to extend the use of VAE-GANs to the video prediction setting is a pretty natural one and not especially novel.	The main reason is that from the narration, I cannot figure out what is the idea or technique of other works and what is the contribution of this paper.
In this case, A: PointNet, B: DeepSet	claims on the datasets is questionable
[-] The combination of VAEs and GANs, while new for videos, had already been proposed for image generation as indicated in the Related Work section and its formulation for video prediction is relatively straightforward given existing VAE (Denton & Fergus 2018) and GAN models (Tulyakov et al. 2018).	[-] The combination of VAEs and GANs, while new for videos, had already been proposed for image generation as indicated in the Related Work section and its formulation for video prediction is relatively straightforward given existing VAE (Denton & Fergus 2018) and GAN models (Tulyakov et al. 2018).
Hence, while I agree with the authors that existing approaches to comparing deep neural network classifiers could be improved, I think the proposed solution is not a good alternative yet.	Correctness of algorithm proposed
"3. The authors argue in their rebuttal that ""the grid"" is a novel idea that warrants investigation, but remark in figure 5 that likely it isn't the key aspect of their algorithm."	"3. The authors argue in their rebuttal that ""the grid"" is a novel idea that warrants investigation, but remark in figure 5 that likely it isn't the key aspect of their algorithm."
This is a lot of architectures, which makes me wonder: how would a “cost-aware” random sampling perform with the same number of sampled architectures?	Incomplete details on perfromance of the method
- The egocentric velocity field is not described (section 5)	Unclear description of method
More discussions on these questions can be very helpful to further understand the proposed method.	Missing details on methodology (eg., use of notation, use on tasks, etc)
- for the experiment with Imagenet images, it is not very clear how many pictures are used. Is this number 2500?	Lack of experimental details (no of images, sampling criteria, etc)
To be honest, the theoretical contribution of the paper is limited.	Missing details on methodology (eg., use of notation, use on tasks, etc)
Since each domain may have different number of classes, it is not clear how the number of classes (L) is set in the classification module (maximum number of classes in all domain?).	Missing details on methodology (eg., use of notation, use on tasks, etc)
- It does not seem necessary to predict cumulative mixture policies (ASN network).	Correctness of algorithm proposed
[-] It seems to me the motivation is similar to that of Sparsely-Gated MoE (Shazeer et al. 2017), but it is not clear how the proposed two-hierarchy method is superior to the Sparsely-Gated MoE. It would be helpful the paper discuss more about this.	Not much novelty in methodology (previous works already studied these methods, similar motiation of methodology)
While most (or all) of the paper is devoted to illustrate the effectiveness of the approach against *non-protected* ML. My only and biggest concern with this paper is that no defense mechanism has been tested against, and there are many in the literature. (see e.g. Diakonikolas et al ICML 2019).	Improper comparison of related work in terms of implementation
3. The architecture of the neural networks used for the Generator and Discriminator is very non-standard, which	Incomplete details on perfromance of the method
2. Though seemingly very important to the architecture, the purpose of constructing the super-graph g^{sup} in the training of C^{CAT} seems to be unclear to me.	design choices are questionable
Is it because the ML solution would be faster to compute with big instances? Is it because with the proposed approach one can curate sophisticated heuristic solutions when provable optimality is out of reach?	Unclear description of method
- It is not clear whether pushing the catastrophic forgetting problem into the generator is the best approach.	Correctness of algorithm proposed
The way the permutation, or the order of the data, accounts in the likelihood (2) does not make sense.	claims on the datasets is questionable
However, what the authors implicitly did was to perform variational inference for maximising their likelihood by introducing a variational distribution q(\theta) = p(\theta | g(x_n; \psi).	Missing details on methodology (eg., use of notation, use on tasks, etc)
Clarification regarding lemma 1: it seems that if the true posterior cannot be expressed by q, a gap will necessarily remain, even in the “limit” of perfect learning. Is this correct?	Unclear description of method
More experiments based on different transformations that the authors have mentioned would make this a stronger contribution.	Experimental study not strong enough
My overall concern is that the experiment result doesn’t really fully support the claim in the two aspects: 1) the SASNet takes the enriched dataset as input to the neural net but it also uses the complex (validation set) to train the optimal parameters, so strictly it doesn’t really fit in the “transfer” learning scenario.	In terms of evaluation, the authors only presented a few qualitative results on simple datasets, which is not comprehensive and convincing.
So is the REINFORCE estimator used or something? Not that the importance sampling matter is orthogonal.	Correctness of algorithm proposed
"-	Talking about depth parametrization use ‘basis’ or ‘bases’ not both and clearly defined the meaning of this important notion."	Unclear description of method
Edit (leaving everything else unchanged for now): After reading R3's assessment, I agree with them that it's worrying that the Deterministic Meta-Dropout performs better than baseline MAML - maybe it's an effect of a larger number of parameters in the model?	Incomplete details on perfromance of the method
- Page 3, Eq. 5: as D and G are functions of time here, eq 5 should maybe be written in more detail to include t	Correctness of algorithm proposed
Dealing with highly stochastic environments seems a potential fatal flaw of the assumptions of this method.	Correctness of algorithm proposed
If the goal is to learn representation for low-shot setting, the method needs to be compared with other representation learning methods such as jigsaw[1], colorization[2] and rotation[3].	Incomplete details on perfromance of the method
"Based on my understanding the authors rank (which itself is questionable) the different tasks in order of potential for transfer and then call this the ""gold"" set. How is precision and NDCG calculated from this?"	Correctness of algorithm proposed
It would have been useful to compare the general models here with some specific math problem-focused ones as well.	Missing theoretical comparisons
- Consequently why did not you compare simple projected gradient method ?	Incomplete details on perfromance of the method
I think this is a very interesting direction, but the present paper is somewhat unclear.	3. The paper is not nicely written or rather easy to follow.
"- typo at the beginning os section 4:  missing 'be' in ""... the algorithm must irrevocably *be* allocated to ..."""	Unclear description of method
It seems like LEMONADE would scale poorly to more than 2 objectives, since it effectively requires approximating an #objectves-1 dimensional surface with the population of parents.	Incomplete details on perfromance of the method
